SubGroupName,Product Code,Product Name
WOMENS PARTY  WEAR,1,LADIES LONG FROCK
GIRLS WEAR,2,GIRLS LEGGINS
MENS WEAR,3,FORMAL SHIRT
MENS WEAR,4,MENS COTTON PANT
MENS WEAR,5,MENS JEANS
MENS WEAR,6,MENS SHIRTS
ETHNIC WEAR,7,MENS PARTY WEAR SHIRT
ETHNIC WEAR,8,KURTHA PYAJAMA
ETHNIC WEAR,9,MENS INDO WESTERN
ETHNIC WEAR,10,MENS MODI JACKET
ETHNIC WEAR,11,VASCOAT
ETHNIC WEAR,12,MENS 5PC SUIT 
ETHNIC WEAR,13,MENS BLAZER 
ETHNIC WEAR,14,MANES PAGDI
ETHNIC WEAR,15,MENS DUPATA
ETHNIC WEAR,16,MENS LONG SHERWANI 
BOYS WEAR,17,BOYS INDO WESTERN
BOYS WEAR,18,BOYS 5PC SUITS
BOYS WEAR,19,BOYS BLAZERS
BOYS WEAR,20,BOYS SHIRTS
GIRLS WEAR,21,GIRLS SHARARE
GIRLS WEAR,22,GIRLS WESTERN WEAR
GIRLS WEAR,23,GIRLS MIDDY 
GIRLS WEAR,24,GIRLS MIDDY SET
GIRLS WEAR,25,GIRLS FROCK
GIRLS WEAR,26,GIRLS PLAZZO 
GIRLS WEAR,27,GIRLS PLAZZO SET
GIRLS WEAR,28,DANGRI SET 
GIRLS WEAR,29,GIRLS LEGGIN SET
BOYS WEAR,30,BOYS SHERWANI
GIRLS WEAR,31,GIRLS PARTY WEAR
BOYS WEAR,32,BOYS T SHIRT
BOYS WEAR,33,BOYS PARTY WEAR
GIRLS WEAR,34,GIRLS ETHNIC WEAR
WOMENS PARTY  WEAR,35,PANJABI DRESS (NOT)
WOMENS PARTY  WEAR,36,LADIES KURTIS(NOT)
BOYS WEAR,37,DUNGREE SETS
MENS WEAR,38,MENS T-SHIRT
MENS WEAR,39,MENS JODHPURI
GIRLS WEAR,40,CAPRI
GIRLS WEAR,41,GIRLS JEGGINS
WOMENS PARTY  WEAR,42,LADIES 3c DRESS MATERIAL(NOT)
WOMENS PARTY  WEAR,43,LADIES TOPS (NOT)
GIRLS WEAR,44,GIRLS T SHIRTS 
BOYS WEAR,45,BOYS  JEANS
BOYS WEAR,46,BOYS  COTTON PANT 
GIRLS WEAR,47,KIDS COTTON FROCK
MENS WEAR,48,FORMAL COTTON PANT 
WOMENS PARTY  WEAR,49,LADIES PLAZO(NOT)
WOMENS PARTY  WEAR,50,LADIES CHUDIDHAR
GIRLS WEAR,51,GIRLS JEANS 
GIRLS WEAR,52,GIRLS LONG SKIRT
GIRLS WEAR,53,GIRLS PATIYALA SET
MENS WEAR,54,MENS H/S SHIRTS
GIRLS WEAR,55,GIRLS GOWN
MENS WEAR,56,MENS DHOTI SET
BOYS WEAR,57,BOYS DHOTI SET
MENS WEAR,58,MENS TIE
MENS WEAR,59,MENS DUPATTA
WOMENS PARTY  WEAR,60,LADIES LONG TOP
MENS WEAR,61,MARRIAGE CAP
GIRLS WEAR,62,leggin
ETHNIC WEAR,63,WAIST COAT 
ETHNIC WEAR,64,SHERWANI SHOE
GIFT ITEM,65,HOT BOX
GIFT ITEM,66,LUNCH BOX
MENS WEAR,67,MENS VEST
MENS WEAR,68,MENS BOXER SHORTS
MENS WEAR,69,MENS TRACK PANT
MENS WEAR,70,MENS BRIEF
